,index,RUC,nombreComercial,direccion,distrito,provincia,departamento,n_trabajadores,tamano_empresa
10237,13944,20519260485,,"Calle Los Ebanistas 296, Urb. El Artesano",Ate,Lima,Lima,4223,Gran Empresa/Big Company
10238,13945,20537757214,,"Calle Pedro Ruiz Gallo 125, Fundo La Estrella",Ate,Lima,Lima,0,Mediana Empresa/Medium Size Company
10239,13946,20100128994,AGA S.A.,Av. Néstor Gambetta 280,Cercado Callao,Callao,Lima,90,Mediana Empresa/Medium Size Company
10240,13947,20523051521,,"Av. Eloy Ureta 106, Urb. El Pino",San Luis,Lima,Lima,30,Mediana Empresa/Medium Size Company
10241,13948,20265797599,LINGRAF SRL,Av. Militar 2356,Lince,Lima,Lima,16,Mediana Empresa/Medium Size Company
10242,13949,20503700892,,"Jr. Emilio Fernández 161, Urb. Santa Beatriz",Cercado,Lima,Lima,19,Mediana Empresa/Medium Size Company
10243,13950,20469591752,,"Calle Monte Rosa 233, Of. 305, Urb. Chacarilla del Estanque ",Santiago de Surco,Lima,Lima,0,Mediana Empresa/Medium Size Company
10244,13951,20544980638,,"Prolong. Huánuco 2248, Urb. San Germán",La Victoria,Lima,Lima,0,Mediana Empresa/Medium Size Company
10245,13952,20523621212,,"Av. El Derby 250, Of. 1701-1801",Santiago de Surco,Lima,Lima,655,Gran Empresa/Big Company
10246,13953,20524340683,LIBUPE S.A.C.,"Av. Canta Callao, Mz. C, Lote 2, Of. 2, Asociación Monte Azul",San Martín de Porres,Lima,Lima,11,Mediana Empresa/Medium Size Company
10247,13954,20177164926,,Av. Alfredo Benavides 1265,Miraflores,Lima ,Lima,17,Mediana Empresa/Medium Size Company
10248,13955,20269982471,,Jr. Antonio Bazo 852,La Victoria,Lima,Lima,0,Pequeña Empresa/Small Size Company
10249,13956,20100052131,,"Jr. Sullana 1729, Chacra Ríos",Cercado,Lima,Lima,52,Mediana Empresa/Medium Size Company
10250,13957,20191479247,,"Av. Canta Callao Mz. C, Lote 2, Asoc. Monte Azul",San Martín de Porres,Lima,Lima,14,Mediana Empresa/Medium Size Company
10251,13958,20521679574,,Av. Néstor Gambetta 9528,Cercado Callao,Callao,Lima,326,Gran Empresa/Big Company
10252,13959,20100989710,LACSA,"Av. José Pardo 831, Piso 4",Miraflores,Lima,Lima,0,Mediana Empresa/Medium Size Company
10253,13960,20563588544,,Calle Dean Valdivia 148,San Isidro,Lima,Lima,0,Pequeña Empresa/Small Size Company
10254,13961,20538094995,,Av. Maquinarias 2645,Cercado,Lima,Lima,33,Mediana Empresa/Medium Size Company
10255,13962,20547836473,,"Calle Río De la Plata 167, Piso 6",San Isidro,Lima,Lima,251,Mediana Empresa/Medium Size Company
10256,13963,20538893871,,"Calle Sucre 195, Urb. Vulcano",Ate,Lima,Lima,72,Mediana Empresa/Medium Size Company
10257,13964,20513406984,,"Av. Javier Prado Este 175, Of. 1203",San Isidro,Lima ,Lima,0,Mediana Empresa/Medium Size Company
10258,13965,20552630191,,"Jr. Juan Castro 246, Urb. Balconcillo ",La Victoria,Lima,Lima,18,Mediana Empresa/Medium Size Company
10259,13966,20338838621,,"Jr. Cusco 626, Piso 3, Tiendas 3236-3246, Galería Mercado Central",Cercado,Lima,Lima,73,Mediana Empresa/Medium Size Company
10260,13968,20253088592,,"Jr. Tnte. Arístides Del Carpio 1262, Urb. Los Cipreses",Cercado,Lima,Lima,14,Mediana Empresa/Medium Size Company
